keys,en,zh-CN,zh-TW,ja
START,START,开始,開始,スタート
SETTINGS,SETTINGS,设置,設定,設定
EXIT,EXIT,退出,離開,終了
RANK,RANK,排行榜,排行榜,ランキング
ACHIEVE,ACHIEVE,成就,成就,実績
Author,Author,作者,作者,作者
Version,Version,版本,版本,バージョン
"A Platform , Battle , Run Game","A Platform , Battle , Run Game","一款平台、战斗、跑酷游戏","一款平台、戰鬥、跑酷遊戲","プラットフォーム、バトル、ランゲーム"
Prev,Prev,上一个,上一個,前へ
Next,Next,下一个,下一個,次へ
Confirm,Confirm,确认,確認,確認
Back to Menu,Back to Menu,返回主菜单,返回主選單,メニューに戻る
Back to Character Select,Back to Character Select,返回角色选择界面,返回角色選擇介面,キャラクター選択に戻る
Back to Level Select,Back to Level Select,返回关卡选择界面,返回關卡選擇介面,レベル選択に戻る
Volume,Volume,音量,音量,音量
Language,Language,语言,語言,言語
Save,Save,保存,儲存,保存
Save And Exit,Save And Exit,保存并返回,儲存並返回,保存して終了
Congratulate!,Congratulate!,恭喜通关！,恭喜通關！,おめでとう！クリアしました！
Use Character,Use Character,启用角色,啟用角色,キャラクターを使用
Clear Time,Clear Time,通关时间,通關時間,クリアタイム
Deaden Count,Death Count,死亡次数,死亡次數,デス回数
More,More,更多,更多,もっと見る
Back,Back,返回,返回,戻る
CA,CHAR,角色,角色,キャラ
TIME,TIME,时间,時間,時間
DC,DC,死亡次数,死亡次數,死亡数
Playback,Playback,回放,回放,再生
Action,Action,操作,操作,操作
Restart,Restart,重新开始,重新開始,再スタート
Choose Character,Choose Character,选择角色,選擇角色,キャラクターを選択
BEST,BEST,最佳,最佳,ベスト
NEWEST,NEWEST,最新,最新,最新
LEVEL,LEVEL,关卡,關卡,レベル
Max,Max,最大,最大,最大
Hp,Hp,生命值,生命值,HP
Jump,Jump,跳跃,跳躍,ジャンプ
Shield,Shield,护盾,護盾,シールド
Count,Count,数,數,カウント
Replaying,Replaying,回放中,回放中,リプレイ中
Achievement,Achievement,成就,成就,実績
Finish,Finish,完成,完成,クリア
UnFinish,UnFinish,未完成,未完成,未クリア
First_collected_fruit,First_collected_fruit,第一次采集果实,第一次採集果實,初めて果実を収穫した
Fruit Picker Certified! You’ve collected your first fruit.,Fruit Picker Certified! You’ve collected your first fruit.,恭喜！你正式成为水果搬运工。,恭喜！你正式成為水果搬運工。,フルーツピッカー認定！初めて果実を集めた！
First_deaden,First_deaden,第一次阵亡,第一次陣亡,初めての敗北
Oops! You’ve just experienced the sweet taste of defeat.,Oops! You’ve just experienced the sweet taste of defeat.,哦豁！你尝到了失败的味道。,哦豁！你嘗到了失敗的味道。,おっと！敗北の味を初めて味わった！
First_pass_game,First_pass_game,首次通关,首次通關,初めてのクリア
Game Clear! Bet you can’t stop now.,Game Clear! Bet you can’t stop now.,通关啦！是不是想再来一局？,通關啦！是不是想再來一局？,ゲームクリア！もう一回やりたくなるね！
First_watch_replay,First_watch_replay,第一次观看回放,第一次觀看回放,初めてリプレイを視聴した
Replay Time! Let’s watch that epic moment again.,Replay Time! Let’s watch that epic moment again.,看回放？好主意！让我们重温你的高光时刻。,看回放？好主意！讓我們重溫你的高光時刻。,リプレイタイム！あの名場面をもう一度見よう！